target_set;shape_id;readable_shape;step;classification
4;4;1111-1111-1000;20;0,1,38-1,1,38-2,1,8-3,1,5-0,2,38-1,2,38-2,2,5-3,2,37-0,3,38
4;4;1111-1111-1000;30;0,1,38-1,1,38-2,1,9-3,1,5-0,2,38-1,2,38-2,2,35-3,2,9-0,3,38
4;4;1111-1111-1000;40;0,1,38-1,1,38-2,1,9-3,1,5-0,2,38-1,2,38-2,2,9-3,2,9-0,3,38
4;4;1111-1111-1000;50;0,1,38-1,1,38-2,1,9-3,1,5-0,2,38-1,2,38-2,2,9-3,2,9-0,3,38
4;5;11111-11111;0;0,2,1-1,2,37-2,2,37-3,2,37-4,2,2-0,3,24-1,3,6-2,3,6-3,3,6-4,3,27
4;5;11111-11111;10;0,2,9-1,2,9-2,2,9-3,2,5-4,2,4-0,3,9-1,3,9-2,3,9-3,3,5-4,3,5
4;5;11111-11111;20;0,2,9-1,2,9-2,2,9-3,2,5-4,2,5-0,3,9-1,3,9-2,3,9-3,3,5-4,3,9
4;5;11111-11111;30;0,2,9-1,2,9-2,2,9-3,2,8-4,2,5-0,3,9-1,3,9-2,3,9-3,3,9-4,3,37
4;5;11111-11111;40;0,2,9-1,2,9-2,2,9-3,2,5-4,2,1-0,3,9-1,3,9-2,3,9-3,3,5-4,3,37
4;5;11111-11111;50;0,2,9-1,2,9-2,2,9-3,2,1-4,2,1-0,3,9-1,3,0-2,3,37-3,3,37-4,3,37
4;6;01111-11111;0;1,2,1-2,2,37-3,2,37-4,2,2-0,3,11-1,3,6-2,3,6-3,3,6-4,3,27
4;6;01111-11111;10;1,2,5-2,2,5-3,2,4-4,2,4-0,3,18-1,3,7-2,3,7-3,3,5-4,3,5
4;6;01111-11111;20;1,2,5-2,2,5-3,2,5-4,2,5-0,3,25-1,3,9-2,3,5-3,3,5-4,3,9
4;6;01111-11111;30;1,2,5-2,2,5-3,2,8-4,2,5-0,3,34-1,3,9-2,3,9-3,3,5-4,3,37
4;6;01111-11111;40;1,2,5-2,2,5-3,2,5-4,2,37-0,3,34-1,3,9-2,3,9-3,3,5-4,3,37
4;6;01111-11111;50;1,2,5-2,2,5-3,2,5-4,2,5-0,3,34-1,3,7-2,3,7-3,3,5-4,3,37
4;7;11110-11111;0;0,2,1-1,2,37-2,2,37-3,2,2-0,3,24-1,3,6-2,3,6-3,3,6-4,3,12
4;7;11110-11111;10;0,2,9-1,2,9-2,2,5-3,2,5-0,3,7-1,3,7-2,3,7-3,3,7-4,3,18
4;7;11110-11111;20;0,2,9-1,2,9-2,2,5-3,2,5-0,3,9-1,3,7-2,3,7-3,3,7-4,3,7
4;7;11110-11111;30;0,2,9-1,2,9-2,2,5-3,2,5-0,3,9-1,3,7-2,3,7-3,3,7-4,3,7
4;7;11110-11111;40;0,2,9-1,2,9-2,2,9-3,2,5-0,3,9-1,3,7-2,3,7-3,3,7-4,3,7
4;7;11110-11111;50;0,2,5-1,2,26-2,2,9-3,2,5-0,3,9-1,3,12-2,3,18-3,3,18-4,3,35
4;8;11111-01111;0;0,2,11-1,2,37-2,2,37-3,2,37-4,2,2-1,3,24-2,3,6-3,3,6-4,3,27
4;8;11111-01111;10;0,2,12-1,2,9-2,2,9-3,2,5-4,2,4-1,3,9-2,3,9-3,3,9-4,3,9
4;8;11111-01111;20;0,2,9-1,2,9-2,2,9-3,2,9-4,2,5-1,3,9-2,3,9-3,3,9-4,3,9
4;8;11111-01111;30;0,2,9-1,2,9-2,2,9-3,2,5-4,2,1-1,3,12-2,3,9-3,3,9-4,3,37
4;8;11111-01111;40;0,2,9-1,2,9-2,2,9-3,2,1-4,2,1-1,3,9-2,3,37-3,3,37-4,3,37
4;8;11111-01111;50;0,2,9-1,2,0-2,2,0-3,2,1-4,2,1-1,3,9-2,3,0-3,3,37-4,3,1
4;9;11111-11110;0;0,2,1-1,2,37-2,2,37-3,2,37-4,2,12-0,3,24-1,3,6-2,3,6-3,3,27
4;9;11111-11110;10;0,2,9-1,2,9-2,2,9-3,2,9-4,2,12-0,3,9-1,3,9-2,3,9-3,3,9
4;9;11111-11110;20;0,2,9-1,2,9-2,2,9-3,2,9-4,2,9-0,3,9-1,3,9-2,3,9-3,3,9
4;9;11111-11110;30;0,2,9-1,2,9-2,2,9-3,2,9-4,2,9-0,3,9-1,3,9-2,3,9-3,3,9
4;9;11111-11110;40;0,2,9-1,2,9-2,2,9-3,2,9-4,2,9-0,3,9-1,3,9-2,3,9-3,3,9
4;9;11111-11110;50;0,2,9-1,2,9-2,2,9-3,2,9-4,2,12-0,3,12-1,3,12-2,3,12-3,3,12
4;10;1111111-1010101;0;0,2,1-1,2,12-2,2,37-3,2,12-4,2,37-5,2,12-6,2,2-0,3,34-2,3,34-4,3,34-6,3,34
4;10;1111111-1010101;10;0,2,10-1,2,10-2,2,10-3,2,11-4,2,10-5,2,11-6,2,11-0,3,10-2,3,10-4,3,10-6,3,10
4;10;1111111-1010101;20;0,2,10-1,2,10-2,2,11-3,2,11-4,2,11-5,2,11-6,2,11-0,3,10-2,3,10-4,3,10-6,3,10
4;10;1111111-1010101;30;0,2,12-1,2,10-2,2,10-3,2,11-4,2,10-5,2,11-6,2,10-0,3,10-2,3,10-4,3,10-6,3,37
4;10;1111111-1010101;40;0,2,26-1,2,26-2,2,26-3,2,26-4,2,10-5,2,10-6,2,1-0,3,12-2,3,26-4,3,37-6,3,28
4;10;1111111-1010101;50;0,2,26-1,2,26-2,2,26-3,2,26-4,2,26-5,2,11-6,2,10-0,3,2-2,3,12-4,3,12-6,3,28
4;11;1111111-0010101;0;0,2,11-1,2,12-2,2,37-3,2,12-4,2,37-5,2,12-6,2,2-2,3,34-4,3,34-6,3,34
4;11;1111111-0010101;10;0,2,11-1,2,11-2,2,11-3,2,11-4,2,10-5,2,11-6,2,11-2,3,10-4,3,10-6,3,10
4;11;1111111-0010101;20;0,2,11-1,2,11-2,2,11-3,2,11-4,2,11-5,2,11-6,2,11-2,3,10-4,3,10-6,3,10
4;11;1111111-0010101;30;0,2,11-1,2,11-2,2,10-3,2,11-4,2,10-5,2,11-6,2,10-2,3,10-4,3,10-6,3,37
4;11;1111111-0010101;40;0,2,12-1,2,12-2,2,12-3,2,11-4,2,10-5,2,10-6,2,1-2,3,12-4,3,37-6,3,28
4;11;1111111-0010101;50;0,2,12-1,2,12-2,2,10-3,2,26-4,2,10-5,2,11-6,2,1-2,3,12-4,3,37-6,3,28
4;12;1111111-1010100;0;0,2,1-1,2,12-2,2,37-3,2,12-4,2,37-5,2,12-6,2,12-0,3,34-2,3,34-4,3,34
4;12;1111111-1010100;10;0,2,12-1,2,12-2,2,12-3,2,12-4,2,12-5,2,12-6,2,12-0,3,12-2,3,12-4,3,12
4;12;1111111-1010100;20;0,2,12-1,2,12-2,2,12-3,2,12-4,2,12-5,2,12-6,2,12-0,3,12-2,3,12-4,3,12
4;12;1111111-1010100;30;0,2,12-1,2,18-2,2,12-3,2,12-4,2,12-5,2,12-6,2,12-0,3,12-2,3,12-4,3,12
4;12;1111111-1010100;40;0,2,12-1,2,18-2,2,18-3,2,18-4,2,12-5,2,18-6,2,12-0,3,12-2,3,12-4,3,12
4;12;1111111-1010100;50;0,2,7-1,2,18-2,2,18-3,2,18-4,2,18-5,2,18-6,2,12-0,3,2-2,3,12-4,3,12
4;13;1111111-1000101;0;0,2,1-1,2,12-2,2,12-3,2,12-4,2,37-5,2,12-6,2,2-0,3,34-4,3,34-6,3,34
4;13;1111111-1000101;10;0,2,14-1,2,14-2,2,14-3,2,13-4,2,13-5,2,10-6,2,13-0,3,14-4,3,10-6,3,10
4;13;1111111-1000101;20;0,2,13-1,2,13-2,2,13-3,2,13-4,2,13-5,2,13-6,2,13-0,3,13-4,3,13-6,3,13
4;13;1111111-1000101;30;0,2,13-1,2,13-2,2,13-3,2,13-4,2,14-5,2,14-6,2,14-0,3,13-4,3,13-6,3,13
4;13;1111111-1000101;40;0,2,13-1,2,13-2,2,13-3,2,14-4,2,14-5,2,14-6,2,14-0,3,13-4,3,13-6,3,14
4;13;1111111-1000101;50;0,2,13-1,2,9-2,2,9-3,2,9-4,2,14-5,2,34-6,2,9-0,3,14-4,3,14-6,3,14
4;14;1111111-1010001;0;0,2,1-1,2,12-2,2,37-3,2,12-4,2,12-5,2,12-6,2,2-0,3,34-2,3,34-6,3,34
4;14;1111111-1010001;10;0,2,12-1,2,12-2,2,14-3,2,14-4,2,14-5,2,14-6,2,14-0,3,12-2,3,12-6,3,13
4;14;1111111-1010001;20;0,2,14-1,2,14-2,2,14-3,2,14-4,2,13-5,2,14-6,2,14-0,3,14-2,3,14-6,3,13
4;14;1111111-1010001;30;0,2,13-1,2,13-2,2,13-3,2,13-4,2,13-5,2,13-6,2,13-0,3,13-2,3,28-6,3,13
4;14;1111111-1010001;40;0,2,13-1,2,25-2,2,13-3,2,13-4,2,28-5,2,28-6,2,13-0,3,28-2,3,28-6,3,13
4;14;1111111-1010001;50;0,2,9-1,2,9-2,2,13-3,2,28-4,2,28-5,2,28-6,2,13-0,3,12-2,3,28-6,3,28
4;15;1111-1001;0;0,2,1-1,2,12-2,2,12-3,2,2-0,3,34-3,3,34
4;15;1111-1001;10;0,2,13-1,2,13-2,2,14-3,2,14-0,3,13-3,3,13
4;15;1111-1001;20;0,2,13-1,2,13-2,2,14-3,2,14-0,3,13-3,3,13
4;15;1111-1001;30;0,2,13-1,2,13-2,2,14-3,2,13-0,3,13-3,3,13
4;15;1111-1001;40;0,2,13-1,2,14-2,2,14-3,2,13-0,3,13-3,3,13
4;15;1111-1001;50;0,2,13-1,2,14-2,2,14-3,2,13-0,3,13-3,3,13
4;16;1111-0001;0;0,2,11-1,2,12-2,2,12-3,2,2-3,3,34
4;16;1111-0001;10;0,2,16-1,2,16-2,2,13-3,2,13-3,3,13
4;16;1111-0001;20;0,2,16-1,2,16-2,2,13-3,2,13-3,3,13
4;16;1111-0001;30;0,2,16-1,2,16-2,2,13-3,2,13-3,3,13
4;16;1111-0001;40;0,2,28-1,2,28-2,2,21-3,2,25-3,3,11
4;16;1111-0001;50;0,2,28-1,2,28-2,2,28-3,2,9-3,3,11
4;17;1111-1000;0;0,2,1-1,2,12-2,2,12-3,2,12-0,3,34
4;17;1111-1000;10;0,2,12-1,2,12-2,2,18-3,2,12-0,3,12
4;17;1111-1000;20;0,2,12-1,2,18-2,2,18-3,2,18-0,3,12
4;17;1111-1000;30;0,2,12-1,2,26-2,2,25-3,2,18-0,3,12
4;17;1111-1000;40;0,2,12-1,2,12-2,2,18-3,2,18-0,3,12
4;17;1111-1000;50;0,2,12-1,2,12-2,2,18-3,2,34-0,3,12
4;18;1111;0;0,3,11-1,3,12-2,3,12-3,3,12
4;18;1111;10;0,3,18-1,3,18-2,3,18-3,3,18
4;18;1111;20;0,3,18-1,3,18-2,3,18-3,3,18
4;18;1111;30;0,3,18-1,3,18-2,3,18-3,3,18
4;18;1111;40;0,3,18-1,3,18-2,3,18-3,3,18
4;18;1111;50;0,3,18-1,3,18-2,3,18-3,3,7
4;19;111;0;0,3,11-1,3,12-2,3,12
4;19;111;10;0,3,18-1,3,18-2,3,12
4;19;111;20;0,3,25-1,3,18-2,3,18
4;19;111;30;0,3,25-1,3,25-2,3,25
4;19;111;40;0,3,25-1,3,25-2,3,18
4;19;111;50;0,3,25-1,3,25-2,3,35
4;20;11111-10101;0;0,2,1-1,2,12-2,2,37-3,2,12-4,2,2-0,3,34-2,3,34-4,3,34
4;20;11111-10101;10;0,2,10-1,2,10-2,2,10-3,2,10-4,2,11-0,3,10-2,3,10-4,3,10
4;20;11111-10101;20;0,2,10-1,2,10-2,2,10-3,2,10-4,2,10-0,3,10-2,3,10-4,3,10
4;20;11111-10101;30;0,2,12-1,2,10-2,2,10-3,2,10-4,2,1-0,3,10-2,3,10-4,3,10
4;20;11111-10101;40;0,2,26-1,2,26-2,2,26-3,2,10-4,2,1-0,3,28-2,3,37-4,3,28
4;20;11111-10101;50;0,2,12-1,2,26-2,2,26-3,2,11-4,2,10-0,3,12-2,3,12-4,3,28
4;21;11111-00101;0;0,2,11-1,2,12-2,2,37-3,2,12-4,2,2-2,3,34-4,3,34
4;21;11111-00101;10;0,2,11-1,2,11-2,2,10-3,2,10-4,2,11-2,3,10-4,3,10
4;21;11111-00101;20;0,2,11-1,2,11-2,2,11-3,2,11-4,2,11-2,3,10-4,3,10
4;21;11111-00101;30;0,2,11-1,2,11-2,2,10-3,2,11-4,2,10-2,3,10-4,3,37
4;21;11111-00101;40;0,2,12-1,2,12-2,2,10-3,2,10-4,2,1-2,3,37-4,3,28
4;21;11111-00101;50;0,2,12-1,2,12-2,2,10-3,2,10-4,2,1-2,3,12-4,3,28
4;22;11111-10001;0;0,2,1-1,2,12-2,2,12-3,2,12-4,2,2-0,3,34-4,3,34
4;22;11111-10001;10;0,2,14-1,2,14-2,2,14-3,2,14-4,2,14-0,3,14-4,3,13
4;22;11111-10001;20;0,2,13-1,2,13-2,2,13-3,2,14-4,2,14-0,3,13-4,3,13
4;22;11111-10001;30;0,2,13-1,2,13-2,2,13-3,2,14-4,2,13-0,3,13-4,3,13
4;22;11111-10001;40;0,2,13-1,2,14-2,2,14-3,2,14-4,2,14-0,3,13-4,3,13
4;22;11111-10001;50;0,2,13-1,2,14-2,2,14-3,2,14-4,2,14-0,3,13-4,3,13
4;23;11111-10100;0;0,2,1-1,2,12-2,2,37-3,2,12-4,2,12-0,3,34-2,3,34
4;23;11111-10100;10;0,2,12-1,2,12-2,2,12-3,2,12-4,2,12-0,3,12-2,3,12
4;23;11111-10100;20;0,2,12-1,2,12-2,2,12-3,2,12-4,2,12-0,3,12-2,3,12
4;23;11111-10100;30;0,2,12-1,2,12-2,2,12-3,2,12-4,2,12-0,3,12-2,3,12
4;23;11111-10100;40;0,2,12-1,2,12-2,2,12-3,2,12-4,2,12-0,3,12-2,3,12
4;23;11111-10100;50;0,2,12-1,2,12-2,2,12-3,2,12-4,2,12-0,3,12-2,3,12
4;24;111111-111111-110011-110011;0;0,0,1-1,0,37-2,0,37-3,0,37-4,0,37-5,0,2-0,1,27-1,1,29-2,1,6-3,1,6-4,1,29-5,1,28-0,2,27-1,2,28-4,2,27-5,2,28-0,3,24-1,3,27-4,3,24-5,3,27
4;24;111111-111111-110011-110011;10;0,0,26-1,0,26-2,0,26-3,0,25-4,0,24-5,0,25-0,1,26-1,1,26-2,1,25-3,1,25-4,1,24-5,1,24-0,2,26-1,2,26-4,2,26-5,2,24-0,3,25-1,3,24-4,3,25-5,3,24
4;24;111111-111111-110011-110011;20;0,0,24-1,0,28-2,0,28-3,0,25-4,0,24-5,0,25-0,1,26-1,1,28-2,1,25-3,1,25-4,1,24-5,1,24-0,2,25-1,2,24-4,2,24-5,2,24-0,3,25-1,3,25-4,3,25-5,3,25
4;24;111111-111111-110011-110011;30;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-5,0,25-0,1,28-1,1,28-2,1,28-3,1,28-4,1,24-5,1,24-0,2,28-1,2,28-4,2,24-5,2,24-0,3,28-1,3,28-4,3,24-5,3,27
4;24;111111-111111-110011-110011;40;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-5,0,25-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,24-0,2,28-1,2,28-4,2,24-5,2,27-0,3,28-1,3,28-4,3,28-5,3,27
4;24;111111-111111-110011-110011;50;0,0,28-1,0,28-2,0,28-3,0,28-4,0,18-5,0,25-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-0,2,28-1,2,28-4,2,28-5,2,27-0,3,11-1,3,11-4,3,28-5,3,27
4;25;011111-111111-110011-110011;0;1,0,1-2,0,37-3,0,37-4,0,37-5,0,2-0,1,1-1,1,29-2,1,6-3,1,6-4,1,29-5,1,28-0,2,27-1,2,28-4,2,27-5,2,28-0,3,24-1,3,27-4,3,24-5,3,27
4;25;011111-111111-110011-110011;10;1,0,26-2,0,26-3,0,26-4,0,25-5,0,25-0,1,26-1,1,26-2,1,26-3,1,26-4,1,26-5,1,24-0,2,26-1,2,26-4,2,26-5,2,24-0,3,25-1,3,26-4,3,25-5,3,24
4;25;011111-111111-110011-110011;20;1,0,26-2,0,26-3,0,26-4,0,25-5,0,25-0,1,24-1,1,26-2,1,26-3,1,26-4,1,25-5,1,25-0,2,26-1,2,25-4,2,26-5,2,24-0,3,25-1,3,25-4,3,25-5,3,25
4;25;011111-111111-110011-110011;30;1,0,28-2,0,28-3,0,28-4,0,28-5,0,25-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,24-0,2,28-1,2,28-4,2,24-5,2,24-0,3,28-1,3,28-4,3,24-5,3,27
4;25;011111-111111-110011-110011;40;1,0,28-2,0,28-3,0,28-4,0,28-5,0,25-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,25-0,2,28-1,2,28-4,2,28-5,2,27-0,3,28-1,3,28-4,3,28-5,3,27
4;25;011111-111111-110011-110011;50;1,0,28-2,0,28-3,0,28-4,0,28-5,0,28-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,24-0,2,28-1,2,28-4,2,28-5,2,27-0,3,28-1,3,28-4,3,28-5,3,27
4;26;111110-111111-110011-110011;0;0,0,1-1,0,37-2,0,37-3,0,37-4,0,2-0,1,27-1,1,29-2,1,6-3,1,6-4,1,29-5,1,2-0,2,27-1,2,28-4,2,27-5,2,28-0,3,24-1,3,27-4,3,24-5,3,27
4;26;111110-111111-110011-110011;10;0,0,26-1,0,26-2,0,26-3,0,26-4,0,26-0,1,26-1,1,26-2,1,26-3,1,26-4,1,26-5,1,26-0,2,26-1,2,26-4,2,26-5,2,26-0,3,26-1,3,25-4,3,26-5,3,26
4;26;111110-111111-110011-110011;20;0,0,26-1,0,26-2,0,26-3,0,26-4,0,26-0,1,26-1,1,26-2,1,26-3,1,26-4,1,26-5,1,26-0,2,26-1,2,24-4,2,26-5,2,26-0,3,25-1,3,25-4,3,26-5,3,26
4;26;111110-111111-110011-110011;30;0,0,28-1,0,28-2,0,28-3,0,28-4,0,25-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,25-0,2,28-1,2,28-4,2,28-5,2,25-0,3,28-1,3,28-4,3,25-5,3,25
4;26;111110-111111-110011-110011;40;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-0,2,28-1,2,28-4,2,28-5,2,27-0,3,28-1,3,28-4,3,9-5,3,27
4;26;111110-111111-110011-110011;50;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-0,2,28-1,2,28-4,2,28-5,2,27-0,3,28-1,3,28-4,3,9-5,3,27
4;27;111111-111111-110011-100011;0;0,0,1-1,0,37-2,0,37-3,0,37-4,0,37-5,0,2-0,1,27-1,1,29-2,1,6-3,1,6-4,1,29-5,1,28-0,2,27-1,2,27-4,2,27-5,2,28-0,3,34-4,3,24-5,3,27
4;27;111111-111111-110011-100011;10;0,0,27-1,0,27-2,0,27-3,0,27-4,0,27-5,0,25-0,1,27-1,1,27-2,1,27-3,1,27-4,1,27-5,1,27-0,2,27-1,2,27-4,2,24-5,2,24-0,3,27-4,3,25-5,3,24
4;27;111111-111111-110011-100011;20;0,0,27-1,0,27-2,0,27-3,0,27-4,0,27-5,0,27-0,1,27-1,1,27-2,1,27-3,1,27-4,1,27-5,1,27-0,2,27-1,2,27-4,2,24-5,2,27-0,3,27-4,3,24-5,3,27
4;27;111111-111111-110011-100011;30;0,0,28-1,0,28-2,0,27-3,0,27-4,0,27-5,0,27-0,1,28-1,1,27-2,1,27-3,1,27-4,1,27-5,1,27-0,2,27-1,2,27-4,2,28-5,2,27-0,3,27-4,3,28-5,3,27
4;27;111111-111111-110011-100011;40;0,0,28-1,0,28-2,0,28-3,0,27-4,0,27-5,0,27-0,1,28-1,1,28-2,1,27-3,1,27-4,1,27-5,1,27-0,2,28-1,2,28-4,2,28-5,2,27-0,3,28-4,3,28-5,3,27
4;27;111111-111111-110011-100011;50;0,0,28-1,0,28-2,0,28-3,0,27-4,0,27-5,0,27-0,1,28-1,1,28-2,1,27-3,1,27-4,1,27-5,1,27-0,2,28-1,2,28-4,2,28-5,2,27-0,3,28-4,3,28-5,3,28
4;28;111111-111111-110011-110001;0;0,0,1-1,0,37-2,0,37-3,0,37-4,0,37-5,0,2-0,1,27-1,1,29-2,1,6-3,1,6-4,1,29-5,1,28-0,2,27-1,2,28-4,2,24-5,2,28-0,3,24-1,3,27-5,3,34
4;28;111111-111111-110011-110001;10;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-5,0,28-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-0,2,28-1,2,28-4,2,28-5,2,28-0,3,28-1,3,28-5,3,28
4;28;111111-111111-110011-110001;20;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-5,0,28-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-0,2,28-1,2,28-4,2,28-5,2,28-0,3,28-1,3,28-5,3,28
4;28;111111-111111-110011-110001;30;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-5,0,28-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-0,2,28-1,2,28-4,2,28-5,2,28-0,3,28-1,3,28-5,3,28
4;28;111111-111111-110011-110001;40;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-5,0,28-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-0,2,28-1,2,28-4,2,28-5,2,28-0,3,28-1,3,28-5,3,28
4;28;111111-111111-110011-110001;50;0,0,28-1,0,28-2,0,28-3,0,28-4,0,28-5,0,28-0,1,28-1,1,28-2,1,28-3,1,28-4,1,28-5,1,28-0,2,28-1,2,28-4,2,28-5,2,28-0,3,28-1,3,28-5,3,28
4;29;11111111-11111111-11111111;0;0,1,1-1,1,37-2,1,37-3,1,37-4,1,37-5,1,37-6,1,37-7,1,2-0,2,27-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,28-0,3,24-1,3,6-2,3,6-3,3,6-4,3,6-5,3,6-6,3,6-7,3,27
4;29;11111111-11111111-11111111;10;0,1,31-1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,30-0,2,29-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,30-0,3,31-1,3,33-2,3,29-3,3,29-4,3,29-5,3,33-6,3,33-7,3,33
4;29;11111111-11111111-11111111;20;0,1,33-1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,29-0,2,33-1,2,29-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,29-0,3,33-1,3,33-2,3,28-3,3,28-4,3,28-5,3,33-6,3,30-7,3,30
4;29;11111111-11111111-11111111;30;0,1,33-1,1,29-2,1,29-3,1,29-4,1,29-5,1,29-6,1,29-7,1,29-0,2,28-1,2,25-2,2,29-3,2,29-4,2,29-5,2,29-6,2,29-7,2,29-0,3,28-1,3,28-2,3,28-3,3,28-4,3,28-5,3,28-6,3,28-7,3,28
4;29;11111111-11111111-11111111;40;0,1,33-1,1,29-2,1,29-3,1,9-4,1,9-5,1,29-6,1,29-7,1,29-0,2,28-1,2,25-2,2,9-3,2,9-4,2,9-5,2,29-6,2,29-7,2,29-0,3,28-1,3,28-2,3,28-3,3,9-4,3,9-5,3,9-6,3,28-7,3,28
4;29;11111111-11111111-11111111;50;0,1,26-1,1,25-2,1,18-3,1,9-4,1,9-5,1,9-6,1,29-7,1,29-0,2,28-1,2,26-2,2,9-3,2,9-4,2,9-5,2,9-6,2,29-7,2,30-0,3,28-1,3,28-2,3,28-3,3,9-4,3,9-5,3,9-6,3,28-7,3,28
